bkg,Sup_normal,Sup_TMath
0.573010,2.950000,2.950000
0.574010,2.950000,2.950000
0.575010,2.950000,2.950000
0.576010,2.950000,2.950000
0.577010,2.950000,2.950000
0.578010,2.950000,2.950000
0.579010,2.950000,2.950000
0.580010,2.950000,2.950000
0.581010,2.950000,2.950000
0.582010,2.950000,2.950000
0.583010,2.960000,2.960000
0.584010,2.960000,2.960000
0.585010,2.960000,2.960000
0.586010,2.960000,2.960000
0.587010,2.960000,2.960000
0.588010,2.960000,2.960000
0.589010,2.960000,2.960000
0.590010,2.960000,2.960000
0.591010,2.960000,2.960000
0.592010,2.960000,2.960000
0.593010,2.960000,2.960000
0.594010,2.960000,2.960000
0.595010,2.970000,2.970000
0.596010,2.970000,2.970000
0.597010,2.970000,2.970000
0.598010,2.970000,2.970000
0.599010,2.970000,2.970000
0.600010,2.970000,2.970000
0.601010,2.970000,2.970000
0.602010,2.970000,2.970000
0.603010,2.970000,2.970000
0.604010,2.970000,2.970000
0.605010,2.970000,2.970000
0.606010,2.970000,2.970000
0.607010,2.980000,2.980000
0.608010,2.980000,2.980000
0.609010,2.980000,2.980000
0.610010,2.980000,2.980000
0.611010,2.980000,2.980000
0.612010,2.980000,2.980000
0.613010,2.980000,2.980000
0.614010,2.980000,2.980000
0.615010,2.980000,2.980000
0.616010,2.980000,2.980000
0.617010,2.980000,2.980000
0.618010,2.980000,2.980000
0.619010,2.990000,2.990000
0.620010,2.990000,2.990000
0.621010,2.990000,2.990000
0.622010,2.990000,2.990000
0.623010,2.990000,2.990000
0.624010,2.990000,2.990000
0.625010,2.990000,2.990000
0.626010,2.990000,2.990000
0.627010,2.990000,2.990000
0.628010,2.990000,2.990000
0.629010,2.990000,2.990000
0.630010,2.990000,2.990000
0.631010,3.000000,3.000000
0.632010,3.000000,3.000000
0.633010,3.000000,3.000000
0.634010,3.000000,3.000000
0.635010,3.000000,3.000000
0.636010,3.000000,3.000000
0.637010,3.000000,3.000000
0.638010,3.000000,3.000000
0.639010,3.000000,3.000000
0.640010,3.000000,3.000000
0.641010,3.000000,3.000000
0.642010,3.000000,3.000000
0.643010,3.010000,3.010000
0.644010,3.010000,3.010000
0.645010,3.010000,3.010000
0.646010,3.010000,3.010000
0.647010,3.010000,3.010000
0.648010,3.010000,3.010000
0.649010,3.010000,3.010000
0.650010,3.010000,3.010000
0.651010,3.010000,3.010000
0.652010,3.010000,3.010000
0.653010,3.010000,3.010000
0.654010,3.010000,3.010000
0.655010,3.020000,3.020000
0.656010,3.020000,3.020000
0.657010,3.020000,3.020000
0.658010,3.020000,3.020000
0.659010,3.020000,3.020000
0.660010,3.020000,3.020000
0.661010,3.020000,3.020000
0.662010,3.020000,3.020000
0.663010,3.020000,3.020000
0.664010,3.020000,3.020000
