time,amplitude
27.5361, 0.102878
27.8486, 0.0943528
28.1611, 0.0736544
28.4736, 0.0480564
28.7861, 0.0102793
29.0986, -0.0244467
29.4111, -0.0562608
29.7236, -0.0713745
30.0361, -0.0805113
30.3486, -0.0775994
30.6611, -0.072661
30.9736, -0.0609813
31.2861, -0.0466078
31.5986, -0.0283703
31.9111, -0.00466169
32.2236, 0.0221843
32.5361, 0.0416111
32.8486, 0.0583607
33.1611, 0.0592784
33.4736, 0.0571436
33.7861, 0.04821
34.0986, 0.0383802
34.4111, 0.0277705
34.7236, 0.0148706
35.0361, 0.00124512
35.3486, -0.0151091
35.6611, -0.0300886
35.9736, -0.0396978
36.2861, -0.0433895
36.5986, -0.0393557
36.9111, -0.0322008
37.2236, -0.0234274
37.5361, -0.0151578
37.8486, -0.00698133
38.1611, 0.000975908
38.4736, 0.00940631
38.7861, 0.0187851
39.0986, 0.0249908
39.4111, 0.0286789
39.7236, 0.0259275
40.0361, 0.0213691
40.3486, 0.0145814
40.6611, 0.00830111
40.9736, 0.00370083
41.2861, -0.000518627
41.5986, -0.00428508
41.9111, -0.00898913
42.2236, -0.0141314
42.5361, -0.0158548
42.8486, -0.0166653
43.1611, -0.0137672
43.4736, -0.0104056
43.7861, -0.00620473
44.0986, -0.00364727
44.4111, -0.00227693
44.7236, -0.000112393
45.0361, 0.00226872
45.3486, 0.0054424
45.6611, 0.00815739
45.9736, 0.00953174
46.2861, 0.00968446
46.5986, 0.00851211
46.9111, 0.00688646
47.2236, 0.00507064
47.5361, 0.00492768
47.8486, 0.00452993
48.1611, 0.00203305
48.4736, -0.000553297
48.7861, -0.00328638
49.0986, -0.00566761
49.4111, -0.00781775
49.7236, -0.00807632
50.0361, -0.00793448
50.3486, -0.00764245
50.6611, -0.00737172
50.9736, -0.00715634
51.2861, -0.00539176
51.5986, -0.00209444
51.9111, 0.00104245
52.2236, 0.00411923
52.5361, 0.00659315
52.8486, 0.00863032
53.1611, 0.00877729
53.4736, 0.00898059
53.7861, 0.00926779
54.0986, 0.00871563
54.4111, 0.00766317
54.7236, 0.00395375
55.0361, -0.000153102
55.3486, -0.00345159
55.6611, -0.00636328
55.9736, -0.00837616
56.2861, -0.00930928
56.5986, -0.00926802
56.9111, -0.00954382
57.2236, -0.00992506
57.5361, -0.00819339
57.8486, -0.00583075
58.1611, -0.00115876
58.4736, 0.00285307
58.7861, 0.00597084
59.0986, 0.00795175
59.4111, 0.00931924
59.7236, 0.0092066
60.0361, 0.00896542
60.3486, 0.00949043
60.6611, 0.00907464
60.9736, 0.0066946
61.2861, 0.00299204
61.5986, -0.0017986
61.9111, -0.00516677
62.2236, -0.00811817
62.5361, -0.0087816
62.8486, -0.00917185
63.1611, -0.00862456
63.4736, -0.00855
63.7861, -0.00905856
64.0986, -0.00732821
64.4111, -0.00450754
64.7236, -7.74329e-06
65.0361, 0.00445164
65.3486, 0.0072375
65.6611, 0.009009
65.9736, 0.00887018
66.2861, 0.00843384
66.5986, 0.00777451
66.9111, 0.00778973
67.2236, 0.00790752
67.5361, 0.00478986
67.8486, 0.0013107
68.1611, -0.00327685
68.4736, -0.00679351
68.7861, -0.00910594
69.0986, -0.00908
69.4111, -0.00803018
69.7236, -0.00697617
70.0361, -0.00602093
70.3486, -0.00565004
70.6611, -0.00426584
70.9736, -0.00115481
71.2861, 0.0023825
71.5986, 0.00621049
71.9111, 0.00791854
72.2236, 0.0090139
72.5361, 0.00696197
72.8486, 0.00512922
73.1611, 0.00389239
73.4736, 0.00304631
73.7861, 0.00260098
74.0986, 0.000843022
74.4111, -0.00142932
74.7236, -0.0040638
75.0361, -0.00629727
75.3486, -0.00643693
75.6611, -0.00560234
75.9736, -0.00326157
76.2861, -0.00187508
76.5986, -0.00107954
76.9111, -0.000904666
77.2236, -0.000768832
77.5361, 0.000439299
77.8486, 0.00181259
78.1611, 0.00358655
78.4736, 0.00419705
78.7861, 0.0037191
79.0986, 0.00220802
79.4111, 0.000336634
