WFRMS, V_rate
-2.70, 1.84032
-2.65, 2.20763
-2.60, 2.92712
-2.55, 3.42735
-2.50, 3.98568
-2.45, 4.48213
-2.40, 5.28397
-2.35, 6.38898
-2.30, 7.63816
-2.25, 8.88069
-2.20, 10.37664
-2.15, 11.92495
-2.10, 14.13598
-2.05, 16.89640
-2.00, 19.85752
-1.95, 22.70006
-1.90, 26.58863
-1.85, 30.17833
-1.80, 34.21801
-1.75, 38.06805
-1.70, 41.94298
-1.65, 46.31266
-1.60, 49.49732
-1.55, 52.27829
-1.50, 54.62465
-1.45, 57.22539
-1.40, 59.19989
-1.35, 61.07657
-1.30, 62.32509
-1.25, 63.93006
-1.20, 64.61411
-1.15, 65.03574
-1.10, 65.45879
-1.05, 65.67460
-1.00, 66.05053
-0.95, 66.47384
-0.90, 66.52532
-0.85, 66.67043
-0.80, 66.92003
-0.75, 66.97282
-0.70, 67.02522
-0.65, 67.02522
-0.60, 67.02576
-0.55, 67.02576
-0.50, 67.02576
-0.45, 67.07845
-0.40, 67.16372
-0.35, 67.21595
-0.30, 67.26869
-0.25, 67.37401
-0.20, 67.44784
-0.15, 67.44784
-0.10, 67.55342
-0.05, 67.55343
0.00, 67.65813
0.05, 67.65844
0.10, 67.71118
0.15, 67.76401
0.20, 67.86911
0.25, 67.86911
0.30, 67.86911
0.35, 67.86911
0.40, 67.92190
0.45, 67.92190
0.50, 67.92190
0.55, 67.92190
0.60, 67.92190
0.65, 67.92190
0.70, 67.92190
0.75, 67.92190
0.80, 67.92190
0.85, 67.92190
0.90, 67.92190
0.95, 67.92190
1.00, 67.92190
1.05, 67.92190
1.10, 67.92190
1.15, 67.92190
1.20, 67.92190
1.25, 67.92190
1.30, 67.92190
1.35, 67.92190
1.40, 67.92190
1.45, 67.92190
1.50, 67.92190
1.55, 67.92190
1.60, 67.92190
1.65, 67.92190
1.70, 67.92190
1.75, 67.92190
1.80, 67.92190
1.85, 67.92190
1.90, 67.92190
1.95, 67.92190
2.00, 67.92190
2.05, 67.92190
2.10, 67.92190
2.15, 67.92190
2.20, 67.92190
2.25, 67.92190
2.30, 67.92190
2.35, 67.92190
2.40, 67.92190
2.45, 67.92190
2.50, 67.92190
2.55, 67.92190
2.60, 67.92190
2.65, 67.92190
2.70, 67.92190
2.75, 67.92190
2.80, 67.92190
2.85, 67.92190
2.90, 67.92190
2.95, 67.92190
3.00, 67.92190
3.05, 100.05205
3.10, 100.05205
3.15, 100.05205
3.20, 100.05205
