Name ,  RA , Decl , ERR , T100 , T90 , UTT(Trigger) , UTPrecSec , T1 , T2 , Tfluence , Alpha , Beta , Epeak , Fluence , emin, emax,  z , f , epsilon1 , epsilon2 , AlphaNu , BetaNu , GammaNu ,A2Alt, A2Az,A3Alt, A3Az
150326B,331.13,-19.65,5.94,4.1,4.1,3/26/15 13:00,0.198,-0.77,3.33,4.1,1.05,2.25,205,1.36E-06,0.008,1,2.15,8.52E-16,0.74,3.17,0.75,1.95,3.95,19.663618,62.296234,19.713315,40.661351
150925A,227.52,-19.628,0.0304,0,-,9/25/15 4:09,0,0,0,0,1,2,1000,1.00E-05,0.01,10,0.5,1.16E-14,0.35,3.17,1,2,4,19.688806,271.341467,19.621412,249.731005
151122B,299.704,-19.899,0.05,51.2,51.2,11/22/15 17:00,0.006,-4.35,46.85,51.2,1.05,2.25,205,2.29E-06,0.008,1,2.15,1.43E-15,0.74,3.17,0.75,1.95,3.95,19.843143,93.151871,19.9111,71.528546
150324B,295.21,-20.04,1.7,13.06,13.06,3/24/15 7:39,0.884,-0.26,12.8,13.06,1.05,2.25,205,7.81E-06,0.008,1,2.15,4.89E-15,0.74,3.17,0.75,1.95,3.95,19.940509,108.951601,20.010483,87.335202
160605A,110.98,-19.83,4.95,5.5,5.5,6/5/16 20:19,0.763,-0.06,5.44,5.5,1.05,2.25,205,2.73E-06,0.008,1,2.15,1.71E-15,0.74,3.17,0.75,1.95,3.95,20.043444,21.327515,20.048632,359.684802
131018A,98.471,-19.896,0.0003,96.64,73.22,10/18/13 12:47,0,21.1,117.74,96.64,2.24,3.24,200,1.10E-06,0.015,0.15,2.15,5.08E-16,0.35,3.17,-0.24,0.76,2.76,20.09196,349.192497,20.059216,327.552643
141122A,9.71,-20.02,10.9,1.28,1.28,11/22/14 2:05,0.172,-0.7,0.58,1.28,1.05,2.25,205,2.59E-07,0.008,1,0.5,4.00E-17,2.1,3.26,0.75,2.75,4.75,20.10728,27.28763,20.11969,5.645159
150528A,350.95,-20.09,2.5,13.05,13.05,5/28/15 15:44,0.556,0.26,13.31,13.05,1.05,2.25,205,4.76E-06,0.008,1,2.15,2.98E-15,0.74,3.17,0.75,1.95,3.95,20.180635,338.948955,20.137409,317.311499
130518B,321.555,-20.148,0.0182,10,10,5/18/13 10:50,0,0,10,10,1.39,2.39,200,8.00E-07,0.015,0.15,2.15,2.07E-15,0.35,3.17,0.61,1.61,3.61,20.246592,32.540293,20.265257,10.898154
150904A,67.08,-20.38,10.89,23.3,23.3,9/4/15 11:30,0.956,-4.1,19.2,23.3,1.05,2.25,205,1.03E-06,0.008,1,2.15,6.43E-16,0.74,3.17,0.75,1.95,3.95,20.521374,21.124327,20.526314,359.480945
151229A,329.37,-20.732,0.0003,3.46,3.46,12/29/15 6:50,0.954,-0.13,3.33,1.536,1.19,3.19,97.1,9.40E-07,0.01,1,2.15,4.85E-16,0.73,3.17,-0.19,1.81,3.81,20.55893,239.202168,20.51195,217.604375
130507A,319.74,-20.53,3.29,60.16,60.16,5/7/13 13:04,0.981,0,60.16,60.16,1.05,2.25,205,4.27E-06,0.008,1,2.15,2.67E-15,0.74,3.17,0.75,1.95,3.95,20.658408,7.951999,20.647303,346.308706
150422A,215.1,-20.86,1.07,36.86,36.86,4/22/15 16:52,0.993,1.54,38.4,36.86,1.05,2.25,205,2.99E-05,0.008,1,2.15,1.87E-14,0.74,3.17,0.75,1.95,3.95,20.78793,221.412901,20.759053,199.819858
141223A,147.38,-20.71,7.48,94.2,94.2,12/23/14 5:45,0.97,-3.58,90.62,94.2,1.05,2.25,205,1.82E-06,0.008,1,2.15,1.14E-15,0.74,3.17,0.75,1.95,3.95,20.816057,79.235956,20.877968,57.60627
131123A,53.24,-20.88,8.34,3.14,3.14,11/23/13 13:01,0.134,0,3.14,3.14,1.05,2.25,205,4.08E-07,0.008,1,2.15,2.56E-16,0.74,3.17,0.75,1.95,3.95,20.817433,264.876792,20.752603,243.269589
150912A,248.443,-21.034,0.033,30.97,30.97,9/12/15 10:37,0.705,-6.14,24.83,28,1.11,3.11,250,4.50E-06,0.01,1,2.15,7.52E-15,0.28,3.17,-0.11,1.89,3.89,20.895859,207.814765,20.882785,186.223777
130909A,198.18,-20.79,17.24,33.79,33.79,9/9/13 19:36,0.897,-14.85,18.94,33.79,1.05,2.25,205,1.98E-06,0.008,1,2.15,1.24E-15,0.74,3.17,0.75,1.95,3.95,21.033639,25.052007,21.043351,3.408101
130707A,54.45,-21.04,5.37,76.55,76.55,7/7/13 12:07,0.926,-2.05,74.5,76.55,1.05,2.25,205,1.05E-05,0.008,1,2.15,6.55E-15,0.74,3.17,0.75,1.95,3.95,21.099038,56.788161,21.143771,35.150119
150630A,116.81,-21.31,1.46,22.78,22.78,6/30/15 5:20,0.761,0.56,23.34,22.78,1.05,2.25,205,1.08E-05,0.008,1,2.15,6.75E-15,0.74,3.17,0.75,1.95,3.95,21.226286,228.471387,21.189791,206.877334
131202A,344.054,-21.662,0.0003,41.33,19.97,12/2/13 15:12,0.851,-4.35,36.98,19.5,1.1,3.1,288.4,1.60E-06,0.01,1,8.2,1.68E-13,0.03,1.08,-0.1,1.9,3.9,21.416554,154.31173,21.464073,132.714685
150604B,72.44,-21.59,4.45,0.89,0.89,6/4/15 10:24,0.802,-0.06,0.83,0.89,1.05,2.25,205,3.97E-07,0.008,1,0.5,6.13E-17,2.1,3.26,0.75,2.75,4.75,21.436625,133.633422,21.499241,112.028502
160219A,1.352,-21.957,20,3.52,3.52,2/19/16 6:56,0.138,0,3.52,0,0.29,2.29,753,1.57E-06,0.01,10,2.15,1.71E-14,0.09,3.17,0.71,2.71,4.71,21.721956,218.461086,21.6964,196.8698
150203B,156.88,-21.81,2.67,23.81,23.81,2/3/15 13:04,0.398,-1.54,22.27,23.81,1.05,2.25,205,3.64E-06,0.008,1,2.15,2.28E-15,0.74,3.17,0.75,1.95,3.95,21.976114,297.186469,21.907191,275.564277
130722C,352.41,-22.31,2.7,2.31,2.31,7/22/13 23:46,0.713,-0.77,1.54,2.31,1.05,2.25,205,5.99E-07,0.008,1,2.15,3.75E-16,0.74,3.17,0.75,1.95,3.95,22.047811,164.884392,22.085087,143.291179
160123B,314.22,-22.18,10.75,37.63,37.63,1/23/16 2:17,0.583,-3.84,33.79,37.63,1.05,2.25,205,8.96E-07,0.008,1,2.15,5.61E-16,0.74,3.17,0.75,1.95,3.95,22.110299,267.848456,22.044186,246.240563
130606B,218.574,-22.131,0.1,75.328,43.7,6/6/13 11:55,0,-3,72.328,65.534,1.14,2.05,435,2.03E-04,0.01,1,2.15,2.94E-13,0.42,3.17,0.95,1.86,3.86,22.140199,254.446265,22.081225,232.844358
160315A,319.91,-22.11,23.05,3.33,3.33,3/15/16 17:44,0.341,-2.82,0.51,3.33,1.05,2.25,205,3.05E-07,0.008,1,2.15,1.91E-16,0.74,3.17,0.75,1.95,3.95,22.227094,349.860054,22.195072,328.217395
150615A,107.565,-22.449,0.0003,33,27.6,6/15/15 4:42,0,-2.9,30.1,33,1.84,2.84,200,5.50E-07,0.015,0.15,2.15,4.84E-16,0.35,3.17,0.16,1.16,3.16,22.394573,243.593049,22.343756,221.995631
160819A,114.139,-22.347,0.0304,50.2,23.8,8/19/16 20:27,0.49,18.4,68.6,22.6,1.45,3.45,109.9,2.14E-05,0.01,1,2.15,1.03E-14,0.64,3.17,-0.45,1.55,3.55,22.502037,308.445007,22.436841,286.817217
130427B,314.898,-22.547,0.0003,34,27,4/27/13 13:20,0,-1.29,32.71,34,1.64,2.64,200,1.50E-06,0.015,0.15,2.78,3.70E-15,0.24,2.64,0.36,1.36,3.36,22.679344,8.944196,22.669435,347.298004
160603A,195.41,-22.96,8.8,0.39,0.39,6/3/16 17:15,0.076,-0.13,0.26,0.39,1.05,2.25,205,1.97E-07,0.008,1,0.5,3.04E-17,2.1,3.26,0.75,2.75,4.75,22.879303,153.80209,22.927276,132.206396
150513A,49.044,-22.868,0.0101,183.69,162,5/13/15 20:31,0,-54.33,129.36,165.8,0.9,1.69,252,1.36E-05,0.01,1,2.15,8.05E-15,1.06,3.17,1.31,2.1,4.1,22.992845,339.778685,22.95042,318.13784
160121A,109.088,-23.592,0.0003,15,12,1/21/16 13:50,0,-0.03,14.97,15,1.77,2.77,200,6.10E-07,0.015,0.15,1.645,3.55E-16,0.5,3.77,0.23,1.23,3.23,23.563259,250.862184,23.506758,229.262954
160222A,309.58,-23.77,9.57,18.17,18.17,2/22/16 1:41,0.835,-5.63,12.54,18.17,1.05,2.25,205,1.27E-06,0.008,1,2.15,7.93E-16,0.74,3.17,0.75,1.95,3.95,23.624976,242.681196,23.574932,221.085349
131119A,47.96,-24.01,7.35,34.82,34.82,11/19/13 18:44,0.874,-2.56,32.26,34.82,1.05,2.25,205,1.85E-06,0.008,1,2.15,1.16E-15,0.74,3.17,0.75,1.95,3.95,23.769287,177.673606,23.792517,156.085472
151202A,326.49,-24.67,7.94,0.7,0.7,12/2/15 13:33,0.808,-0.06,0.64,0.7,1.05,2.25,205,6.98E-07,0.008,1,0.5,1.08E-16,2.1,3.26,0.75,2.75,4.75,24.41619,161.911029,24.456489,140.319805
