Name ,  RA , Decl , ERR , T100 , T90 , UTT(Trigger) , UTPrecSec , T1 , T2 , Tfluence , Alpha , Beta , Epeak , Fluence , emin, emax,  z , f , epsilon1 , epsilon2 , AlphaNu , BetaNu , GammaNu ,A2Alt, A2Az,A3Alt, A3Az
141230C,246.93,-40.18,10.48,0.22,0.22,12/30/14 20:54,0.714,-0.16,0.06,0.22,1.05,2.25,205,1.48E-07,0.008,1,0.5,2.28E-17,2.1,3.26,0.75,2.75,4.75,40.314833,304.017153,40.24786,282.382624
131211A,271.34,-40.61,3.56,44.8,44.8,12/11/13 12:14,0.965,-12.54,32.26,44.8,1.05,2.25,205,4.51E-06,0.008,1,2.15,2.82E-15,0.74,3.17,0.75,1.95,3.95,40.519345,117.350053,40.588231,95.743517
150923B,267.81,-40.66,6.37,0.19,0.19,9/23/15 10:18,0.924,-0.06,0.13,0.19,1.05,2.25,205,2.61E-07,0.008,1,0.5,4.02E-17,2.1,3.26,0.75,2.75,4.75,40.519763,221.16203,40.491148,199.599376
140604A,263.17,-40.406,0.212,8.448,1,6/4/14 4:50,0.447,0,8.448,8.448,0.54,2.54,795,7.20E-06,0.02,10,2.15,7.08E-14,0.09,3.17,0.46,2.46,4.46,40.539667,48.136934,40.575773,26.468362
150817B,31.05,-41,2.41,13.31,13.31,8/17/15 6:00,0.763,-0.51,12.8,13.31,1.05,2.25,205,7.28E-06,0.008,1,2.15,4.55E-15,0.74,3.17,0.75,1.95,3.95,40.937002,85.578171,41.002143,63.938653
150222C,294.54,-40.94,11.32,74.75,74.75,2/22/15 19:58,0.437,-56.32,18.43,74.75,1.05,2.25,205,3.84E-06,0.008,1,2.15,2.41E-15,0.74,3.17,0.75,1.95,3.95,41.029938,312.463128,40.966686,290.819802
140329B,92.35,-41.08,9.18,0.06,0.06,3/29/14 6:31,0.774,-0.03,0.03,0.06,1.05,2.25,205,2.38E-07,0.008,1,0.5,3.67E-17,2.1,3.26,0.75,2.75,4.75,41.115766,277.57769,41.04671,255.970508
140529A,228.81,-41.042,0.0122,8.448,3,5/29/14 9:28,0.312,0,8.448,8.448,1.5,3.5,52,2.60E-06,0.02,10,2.15,7.39E-16,1.35,3.17,-0.5,1.5,3.5,41.216619,309.775838,41.152029,288.134962
160131B,333.69,-41.44,9.16,34.82,34.82,1/31/16 2:46,0.933,-2.82,32,34.82,1.05,2.25,205,1.77E-06,0.008,1,2.15,1.11E-15,0.74,3.17,0.75,1.95,3.95,41.368481,272.084853,41.300846,250.483526
150222B,155.897,-41.17,0.0608,65.28,65.28,2/22/15 10:48,0.412,8.45,73.73,65.28,1.05,2.25,205,1.95E-05,0.008,1,2.15,1.22E-14,0.74,3.17,0.75,1.95,3.95,41.375613,311.595289,41.311913,289.952489
131216A,94.674,-41.627,1.4397,25.38,5.69,12/16/13 1:56,0.11,-1,24.38,11.52,0.64,2.03,359,8.60E-06,0.01,1,2.15,1.42E-14,0.52,3.17,0.97,2.36,4.36,41.633117,90.652375,41.700273,69.017524
150219A,271.251,-41.594,0.0006,60.46,36.09,2/19/15 12:31,0.259,1.54,62,40.961,0.82,2.17,166.7,1.00E-05,0.01,1,2.15,4.73E-15,1,3.17,0.83,2.18,4.18,41.723603,44.399374,41.755721,22.726632
131113A,157.99,-41.52,1.21,60.55,60.55,11/13/13 11:35,0.157,3.39,63.94,60.55,1.05,2.25,205,2.30E-05,0.008,1,2.15,1.44E-14,0.74,3.17,0.75,1.95,3.95,41.731175,41.304933,41.759886,19.630713
150228A,231.32,-41.87,2.03,4.13,4.13,2/28/15 20:16,0.114,0,4.13,4.13,1.05,2.25,205,6.59E-06,0.008,1,2.15,4.13E-15,0.74,3.17,0.75,1.95,3.95,41.820994,238.73316,41.774428,217.162663
130404B,146.58,-42.16,1.08,34.56,34.56,4/4/13 20:10,0.028,0.32,34.88,34.56,1.05,2.25,205,8.36E-06,0.008,1,2.15,5.23E-15,0.74,3.17,0.75,1.95,3.95,42.131303,120.751966,42.199325,99.14974
150305A,269.769,-42.648,0.0253,100,100,3/5/15 9:49,0,0,100,100,1,2,200,7.00E-07,0.02,0.2,2.15,4.37E-15,0.35,3.17,1,2,4,42.70984,69.751419,42.765508,48.094949
151210B,293.97,-42.7,3.37,37.63,37.63,12/10/15 0:59,0.643,0.77,38.4,43,1.45,3.45,306,5.80E-06,0.01,1,2.15,6.78E-15,0.23,3.17,-0.45,1.55,3.55,42.786565,310.547844,42.722345,288.904828
141011B,259.38,-43,4.13,12.03,12.03,10/11/14 11:12,0.017,0,12.03,12.03,1.05,2.25,205,2.89E-06,0.008,1,2.15,1.81E-15,0.74,3.17,0.75,1.95,3.95,42.824852,181.172491,42.843988,159.617692
150324A,180.81,-42.72,4.19,4.61,4.61,3/24/15 3:56,0.923,1.02,5.63,4.61,1.05,2.25,205,4.85E-06,0.008,1,2.15,3.04E-15,0.74,3.17,0.75,1.95,3.95,42.927562,50.501414,42.966111,28.829778
151205B,41.19,-43.461,0.0233,1.5,1.4,12/5/15 21:43,0,-0.2,1.3,1.5,1.74,2.74,1000,7.70E-08,0.015,0.15,0.5,6.31E-17,0.31,2.1,0.26,1.26,3.26,43.330302,111.035157,43.400146,89.4225
150418B,312.43,-43.53,9.17,3.84,3.84,4/18/15 19:39,0.422,-1.54,2.3,3.84,1.05,2.25,205,6.42E-07,0.008,1,2.15,4.02E-16,0.74,3.17,0.75,1.95,3.95,43.503948,280.740073,43.434362,259.130143
130928A,306.91,-44.19,3.26,133,133,9/28/13 12:52,0.193,0.51,133.51,133,1.05,2.25,205,1.95E-05,0.008,1,2.15,1.22E-14,0.74,3.17,0.75,1.95,3.95,43.9903,216.13789,43.967385,194.584491
151111A,56.845,-44.162,0.0003,96.97,76.93,11/11/15 8:33,0,-5.62,91.35,96.97,0.79,2.79,56.6,1.70E-06,0.015,0.15,3.5,2.65E-15,0.61,2.22,0.21,2.21,4.21,44.300138,348.128054,44.26623,326.451077
140817B,29.05,-44.48,5.17,26.11,26.11,8/17/14 5:30,0.358,-10.75,15.36,26.11,1.05,2.25,205,2.38E-06,0.008,1,2.15,1.49E-15,0.74,3.17,0.75,1.95,3.95,44.401451,91.05964,44.468746,69.423464
131103A,348.919,-44.641,0.0002,23,17.3,11/3/13 22:07,0,-9.5,13.5,23,1.97,2.97,200,8.20E-07,0.015,0.15,0.5955,7.47E-17,1.37,6.25,0.03,1.03,3.03,44.586736,83.825027,44.65106,62.180514
161105A,120.184,-44.775,0.0003,252.81,177.3,11/5/16 4:53,0,-88,164.81,252.81,1.02,3.02,159.1,6.10E-06,0.015,0.15,2.15,1.39E-14,0.44,3.17,-0.02,1.98,3.98,44.748091,112.088249,44.817834,90.477099
150305B,225.12,-44.74,11.36,16.13,16.13,3/5/15 17:23,0.693,-0.26,15.87,16.13,1.05,2.25,205,1.72E-06,0.008,1,2.15,1.08E-15,0.74,3.17,0.75,1.95,3.95,44.799793,270.953583,44.732527,249.355606
