WFRMS, V_rate
-3.90, 0.00013
-3.85, 0.00013
-3.80, 0.00013
-3.75, 0.00013
-3.70, 0.00013
-3.65, 0.00013
-3.60, 0.00013
-3.55, 0.00013
-3.50, 0.00013
-3.45, 0.00013
-3.40, 0.00038
-3.35, 0.00038
-3.30, 0.00038
-3.25, 0.00038
-3.20, 0.00051
-3.15, 0.00128
-3.10, 0.00204
-3.05, 0.00242
-3.00, 0.00319
-2.95, 0.00383
-2.90, 0.00472
-2.85, 0.00561
-2.80, 0.00689
-2.75, 0.00905
-2.70, 0.01122
-2.65, 0.01390
-2.60, 0.01772
-2.55, 0.02244
-2.50, 0.02920
-2.45, 0.03596
-2.40, 0.04590
-2.35, 0.05674
-2.30, 0.07090
-2.25, 0.09334
-2.20, 0.11578
-2.15, 0.14740
-2.10, 0.18616
-2.05, 0.23628
-2.00, 0.29187
-1.95, 0.36417
-1.90, 0.44960
-1.85, 0.56564
-1.80, 0.70054
-1.75, 0.87026
-1.70, 1.07453
-1.65, 1.31501
-1.60, 1.59056
-1.55, 1.92464
-1.50, 2.32936
-1.45, 2.80739
-1.40, 3.35760
-1.35, 3.97870
-1.30, 4.67644
-1.25, 5.43295
-1.20, 6.28192
-1.15, 7.20216
-1.10, 8.17697
-1.05, 9.19616
-1.00, 10.29288
-0.95, 11.42721
-0.90, 12.58475
-0.85, 13.78640
-0.80, 15.00833
-0.75, 16.24467
-0.70, 17.47642
-0.65, 18.70842
-0.60, 19.89784
-0.55, 21.06902
-0.50, 22.18575
-0.45, 23.23453
-0.40, 24.22872
-0.35, 25.17829
-0.30, 26.09381
-0.25, 26.95056
-0.20, 27.78702
-0.15, 28.59276
-0.10, 29.33742
-0.05, 30.06869
0.00, 30.76949
0.05, 31.44771
0.10, 32.10516
0.15, 32.72473
0.20, 33.31344
0.25, 33.83891
0.30, 34.33097
0.35, 34.74525
0.40, 35.08469
0.45, 35.35220
0.50, 35.54602
0.55, 35.67187
0.60, 35.74442
0.65, 35.77579
0.70, 35.79045
0.75, 35.79696
0.80, 35.79823
0.85, 35.79823
0.90, 35.79823
0.95, 35.79823
1.00, 35.79823
1.05, 35.79823
1.10, 35.79823
1.15, 35.79823
1.20, 35.79823
1.25, 35.79823
1.30, 35.79823
1.35, 35.79823
1.40, 35.79823
1.45, 35.79823
1.50, 35.79823
1.55, 35.79823
1.60, 35.79823
1.65, 35.79823
1.70, 35.79823
1.75, 35.79823
1.80, 35.79823
1.85, 35.79823
1.90, 35.79823
1.95, 35.79823
2.00, 35.79823
2.05, 35.79823
2.10, 35.79823
2.15, 35.79823
2.20, 35.79823
2.25, 35.79823
2.30, 35.79823
2.35, 35.79823
2.40, 35.79823
2.45, 35.79823
2.50, 35.79823
2.55, 35.79823
2.60, 35.79823
2.65, 35.79823
2.70, 35.79823
2.75, 35.79823
2.80, 35.79823
2.85, 35.79823
2.90, 35.79823
2.95, 35.79823
3.00, 35.79823
3.05, 100.00000
3.10, 100.00000
3.15, 100.00000
3.20, 100.00000
3.25, 100.00000
3.30, 100.00000
3.35, 100.00000
3.40, 100.00000
3.45, 100.00000
3.50, 100.00000
3.55, 100.00000
3.60, 100.00000
3.65, 100.00000
3.70, 100.00000
3.75, 100.00000
3.80, 100.00000
3.85, 100.00000
3.90, 100.00000
3.95, 100.00000
4.00, 100.00000
4.05, 100.00000
4.10, 100.00000
4.15, 100.00000
4.20, 100.00000
4.25, 100.00000
4.30, 100.00000
4.35, 100.00000
4.40, 100.00000
4.45, 100.00000
4.50, 100.00000
4.55, 100.00000
4.60, 100.00000
4.65, 100.00000
4.70, 100.00000
4.75, 100.00000
4.80, 100.00000
4.85, 100.00000
4.90, 100.00000
4.95, 100.00000
--------------------------------------
WFRMS, H_rate
-5.00, 0.00000
-4.95, 0.00000
-4.90, 0.00000
-4.85, 0.00000
-4.80, 0.00000
-4.75, 0.00000
-4.70, 0.00000
-4.65, 0.00000
-4.60, 0.00000
-4.55, 0.00000
-4.50, 0.00000
-4.45, 0.00000
-4.40, 0.00000
-4.35, 0.00000
-4.30, 0.00000
-4.25, 0.00000
-4.20, 0.00000
-4.15, 0.00000
-4.10, 0.00000
-4.05, 0.00000
